,custnumber,allorder,allmount,sper,fiveorder,sixorder,sevenorder,slope,order_qu,order_log,mount_log,order_minmax,order_cluster
1,20231022,475,19549.76,0.9410526315789474,101,190,184,41.49999999999999,475,6.16541785423142,9.880769439338218,0.9552752853642517,2
2,20235731,464,23589.98,0.9288793103448276,95,145,224,64.49999999999999,460,6.142037405587356,10.06861971456554,0.9511938416487824,2
3,20235931,432,24609.52,0.8819444444444444,109,164,159,24.999999999999986,430,6.07073772800249,10.110929272783979,0.938747304568853,2
4,20234208,390,16194.48,0.9333333333333333,39,152,199,80.0,390,5.968707559985366,9.692487469943611,0.9209362525064506,2
5,20236787,387,14272.03,0.9302325581395349,31,148,208,88.50000000000001,385,5.961005339623274,9.566127021498225,0.9195917026489782,2
6,20233625,384,17994.35,0.9244791666666666,85,143,156,35.50000000000001,380,5.953243334287785,9.797868670171164,0.9182367163363432,2
7,20232018,373,21216.75,0.8257372654155496,36,152,185,74.49999999999999,370,5.924255797414532,9.962593374500939,0.9131764627030878,2
8,20234134,372,13854.2,0.9435483870967742,42,124,206,82.0,370,5.921578419643816,9.536415892414833,0.9127090821646482,2
9,20235688,363,16957.61,0.9366391184573003,103,145,115,5.999999999999977,360,5.8971538676367405,9.73853094844002,0.9084453729514488,2
10,20230264,332,16717.74,0.8795180722891566,58,129,145,43.499999999999986,330,5.808142489980444,9.724285524947398,0.8929069659058348,2
11,20231722,319,6755.35,0.9467084639498433,21,230,68,23.499999999999993,315,5.768320995793772,8.818238082388067,0.8859554659725755,2
12,20230261,316,16390.52,0.9462025316455697,32,119,165,66.5,315,5.75890177387728,9.704519406913127,0.8843111851171936,2
13,20231495,296,11723.73,0.8175675675675675,61,125,110,24.49999999999999,295,5.6937321388027,9.369455565330789,0.8729347482675914,2
14,20234010,294,10935.12,0.9319727891156463,66,125,103,18.499999999999993,290,5.68697535633982,9.299826351277014,0.8717552402205158,2
15,20236067,292,13962.63,0.9178082191780822,57,122,113,27.999999999999982,290,5.680172609017068,9.544211371168068,0.870567708247496,2
16,20231730,292,13344.35,0.9075342465753424,80,97,115,17.499999999999975,290,5.680172609017068,9.498923288546031,0.870567708247496,2
17,20235219,291,3303.29,0.9484536082474226,81,193,17,-32.00000000000002,290,5.676753802268282,8.102976903186192,0.8699708990274652,2
18,20234143,289,12199.33,0.9342560553633218,59,121,109,24.999999999999996,285,5.66988092298052,9.409218279535853,0.868771124360894,2
19,20230255,286,13651.66,0.8951048951048951,32,83,171,69.5,285,5.659482215759621,9.521689653422936,0.866955858157843,2
20,20235161,280,10831.0,0.9535714285714286,62,108,110,23.99999999999999,280,5.638354669333745,9.290259995152056,0.8632676957578855,2
21,20240020,271,13987.61,0.8634686346863468,33,95,143,55.0,270,5.605802066295998,9.54599870603998,0.8575851009063831,2
22,20233890,268,10614.9,0.9067164179104478,53,98,117,31.99999999999999,265,5.594711379601839,9.270108156223895,0.8556490382500489,2
23,20231848,267,9591.99,0.8951310861423221,61,110,96,17.499999999999986,265,5.5909869805108565,9.168787902390635,0.8549988828362156,2
24,20236524,262,5723.12,0.8664122137404581,36,68,158,61.000000000000014,260,5.572154032177765,8.65244410481718,0.851711280455781,2
25,20232846,251,9449.0,0.9322709163346613,40,92,119,39.5,250,5.529429087511423,9.153770020487789,0.8442529352564695,2
26,20230008,249,8609.09,0.9397590361445783,44,97,108,31.999999999999996,245,5.521460917862246,9.060690050328818,0.8428619595556383,2
27,20230250,247,10275.46,0.8906882591093117,40,92,115,37.499999999999986,245,5.5134287461649825,9.23761112172768,0.8414598112395626,2
28,20234484,244,10974.64,0.9057377049180327,70,62,112,20.999999999999975,240,5.501258210544727,9.303433550593954,0.8393352431067012,2
29,20235823,243,13099.8,0.9012345679012346,43,103,97,26.999999999999996,240,5.497168225293202,9.480428576026915,0.8386212685865656,2
30,20231841,236,7523.9,0.9279661016949152,14,104,118,51.999999999999986,235,5.4680601411351315,8.925972800492232,0.833539971432481,2
31,20234743,235,11394.67,0.8170212765957446,72,129,34,-19.000000000000018,235,5.4638318050256105,9.340988737669564,0.8328018454835815,2
32,20237273,230,9933.46,0.9260869565217391,47,79,104,28.499999999999993,230,5.442417710521793,9.203764800212296,0.8290636613808886,2
33,20234571,230,8651.26,0.8695652173913043,42,72,116,37.0,230,5.442417710521793,9.065575837476725,0.8290636613808886,2
34,20235298,228,9436.88,0.9692982456140351,25,106,97,35.99999999999999,225,5.43372200355424,9.152486657647334,0.8275456820172509,2
35,20232913,225,8619.09,0.88,31,106,88,28.499999999999996,225,5.420534999272286,9.061850804438501,0.8252436724804874,2
36,20232967,224,9059.51,0.9375,48,77,99,25.499999999999996,220,5.41610040220442,9.111680688843453,0.8244695402724694,2
37,20231977,223,8111.74,0.9282511210762332,27,87,109,40.99999999999999,220,5.4116460518550396,9.001190944550094,0.823691959802704,2
38,20234232,222,7146.9,0.9369369369369369,28,64,130,50.99999999999999,220,5.407171771460119,8.874573886254206,0.8229109002141092,2
39,20231548,221,7945.67,0.9140271493212669,50,88,83,16.499999999999993,220,5.402677381872279,8.980508251974175,0.8221263302335491,2
40,20233976,219,8652.25,0.8812785388127854,30,104,85,27.5,215,5.393627546352362,9.065690251903238,0.8205465318784746,2
41,20231240,218,6974.73,0.8211009174311926,48,101,69,10.499999999999986,215,5.389071729816501,8.850192260711351,0.8197512388089448,2
42,20231054,216,9964.84,0.8379629629629629,60,85,71,5.499999999999992,215,5.37989735354046,9.206918524126882,0.8181496998066253,2
43,20237213,216,7355.44,0.9490740740740741,39,84,93,26.999999999999993,215,5.37989735354046,8.90333139905227,0.8181496998066253,2
44,20236779,216,10858.38,0.8379629629629629,67,71,78,5.499999999999992,215,5.37989735354046,9.292784501618806,0.8181496998066253,2
45,20237189,216,11711.82,0.9166666666666666,74,73,69,-2.5000000000000053,215,5.37989735354046,9.368439247411454,0.8181496998066253,2
46,20231844,215,6357.29,0.9116279069767442,10,117,88,38.99999999999999,215,5.375278407684165,8.75751475225818,0.8173433864708866,2
47,20230006,214,7579.03,0.9205607476635514,29,85,100,35.499999999999986,210,5.3706380281276624,8.933272436412226,0.8165333315285453,2
48,20233040,212,8859.59,0.9528301886792453,33,79,100,33.50000000000001,210,5.3612921657094255,9.089368632804138,0.8149018567859836,2
49,20234978,211,9376.45,0.8436018957345972,61,70,80,9.49999999999999,210,5.356586274672012,9.146063150030338,0.8140803657319524,2
50,20230831,209,6875.96,0.9186602870813397,16,124,69,26.5,205,5.3471075307174685,8.835931972813173,0.8124256943211181,2
51,20230270,209,8929.27,0.861244019138756,36,95,78,20.99999999999999,205,5.3471075307174685,9.097201908575846,0.8124256943211181,2
52,20230101,209,8394.79,0.9234449760765551,28,83,98,34.99999999999999,205,5.3471075307174685,9.035485668717287,0.8124256943211181,2
53,20231426,208,9599.29,0.9134615384615384,80,80,48,-16.000000000000007,205,5.342334251964811,9.169548585332999,0.8115924396276859,2
54,20230332,207,7972.01,0.9082125603864735,68,70,69,0.499999999999987,205,5.337538079701318,8.983817366734746,0.8107551884935803,2
55,20237257,205,8441.54,0.8682926829268293,58,61,86,13.99999999999999,205,5.327876168789581,9.041038490181576,0.8090685422631991,2
56,20230225,205,8400.06,0.8536585365853658,34,78,93,29.499999999999993,205,5.327876168789581,9.036113167346247,0.8090685422631991,2
57,20235060,204,9308.87,0.9215686274509803,53,86,65,5.999999999999995,200,5.3230099791384085,9.138830406693494,0.8082190684369087,2
58,20234573,204,7498.08,0.8970588235294118,48,88,68,9.999999999999991,200,5.3230099791384085,8.922535625333564,0.8082190684369087,2
59,20232159,202,5550.5,0.8366336633663366,15,91,96,40.5,200,5.313205979041787,8.621823440494321,0.8065076181910225,2
60,20235380,201,10192.93,0.8805970149253731,62,71,68,2.9999999999999933,200,5.308267697401205,9.229547724092027,0.8056455595165287,2
61,20234653,200,6708.82,0.89,49,88,63,6.9999999999999964,200,5.303304908059076,8.81132740397253,0.8047792226176954,2
62,20235706,198,6352.86,0.8888888888888888,63,95,40,-11.500000000000005,195,5.293304824724492,8.756817781221914,0.8030335428019889,2
63,20231676,195,7184.86,0.9384615384615385,8,77,110,51.00000000000001,195,5.278114659230517,8.879870485156934,0.8003818483697667,2
64,20235838,193,9240.52,0.9740932642487047,28,48,117,44.5,190,5.267858159063328,9.131461653271234,0.7985914067581722,2
65,20233988,193,6782.52,0.8860103626943006,14,79,100,43.0,190,5.267858159063328,8.822251420251526,0.7985914067581722,2
66,20233924,192,6765.02,0.9427083333333334,33,95,64,15.499999999999996,190,5.262690188904886,8.819668305292536,0.7976892521568634,2
67,20235472,191,8103.78,0.9267015706806283,57,71,63,2.9999999999999973,190,5.2574953720277815,9.000209290062946,0.7967824110171211,2
68,20235140,190,6785.07,0.8473684210526315,46,74,70,11.999999999999988,190,5.25227342804663,8.822627260646115,0.7958708343930423,2
69,20236976,188,7508.14,0.9308510638297872,43,59,86,21.499999999999993,185,5.241747015059643,8.923876224219596,0.7940332750379493,2
70,20234638,186,7132.84,0.9139784946236559,25,77,84,29.500000000000004,185,5.231108616854587,8.872604937856845,0.792176166812282,2
71,20231780,185,6711.81,0.8432432432432433,53,68,64,5.499999999999991,185,5.225746673713202,8.811772920246087,0.7912401510210424,2
72,20230904,185,8882.81,0.9405405405405406,35,46,104,34.5,185,5.225746673713202,9.091985798022899,0.7912401510210424,2
73,20240226,184,9998.39,0.6739130434782609,3,142,39,17.999999999999993,180,5.220355825078324,9.210279370115607,0.7902990892981977,2
