,goodsCode,qty,bigbox,smallbox,box,sore
0,031160208002	,777524.0,120,60.0,5,10617.0
1,031160203112	,645263.0,120,60.0,5,8116.0
2,031150602058	,409763.0,120,60.0,5,5193.0
3,031160203037	,299584.0,200,50.0,5,3902.0
4,031150602047	,293949.0,200,50.0,5,6630.0
5,031150601166	,233858.0,120,60.0,5,5360.0
6,031160103043	,232496.0,40,20.0,5,4026.0
7,031160103041	,231785.0,80,40.0,5,6412.0
8,031150601134	,172487.0,120,60.0,5,4349.0
9,031150601264	,171147.0,200,50.0,5,3693.0
10,660240010224	,163146.0,80,40.0,5,550.0
11,660240010219	,157274.0,80,40.0,5,507.0
12,031160103034	,147350.0,80,40.0,5,2198.0
13,660110010077	,146233.0,80,40.0,5,2587.0
14,031160203044	,144786.0,120,60.0,5,5245.0
15,660050020204	,144100.0,120,120.0,10,1931.0
16,660010020034	,134338.0,120,60.0,5,1321.0
17,031150601026	,127109.0,200,50.0,5,3260.0
18,660240010230	,125772.0,80,40.0,5,541.0
19,660120010019	,124249.0,120,60.0,5,3318.0
20,660050010053	,114011.0,240,240.0,20,2811.0
21,660110010029	,113317.0,120,60.0,5,1685.0
22,031150602033	,112021.0,200,50.0,5,3594.0
23,660240010223	,109328.0,80,40.0,5,51.0
24,660240010196	,103777.0,80,40.0,5,449.0
25,031150602057	,97737.0,120,60.0,5,2449.0
26,020050010002	,90057.0,120,60.0,5,2904.0
27,031150601211	,86151.0,200,200.0,10,147.0
28,031160103033	,85599.0,80,40.0,5,2251.0
29,020080010007	,84151.0,120,60.0,5,1769.0
30,031160203129	,82519.0,200,50.0,0,5.0
31,660200010168	,81161.0,120,60.0,5,434.0
32,660330020002	,77149.0,80,40.0,5,2684.0
33,660140020025	,76261.0,40,20.0,5,830.0
34,031150601029	,71556.0,200,50.0,5,1867.0
35,660010010433	,71481.0,30,30.0,5,313.0
36,660120020001	,69307.0,120,60.0,5,1769.0
37,031150602035	,66281.0,200,50.0,5,1993.0
38,660050020030	,64109.0,60,60.0,10,1550.0
